tsne_1,tsne_2,cluster_label,image_path
-26.056728,-12.425605,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/scC1c1u6fvjJn9bvMNIpGtWQxlJ.jpg
34.268623,34.42157,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/qR7u96cUlmZ7B9jB8Yyv0teszrm.jpg
0.0033267878,-5.0995317,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/cDNiOIYiwEOPodnxofqdSV0eivy.jpg
28.685585,-12.351781,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/AtxMo1aqXqlSLBprXRoJJiJGow5.jpg
-16.414955,12.131585,6,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/8qcRGnqeCyYFekRNAK4A366cbNF.jpg
43.148308,-14.117995,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/a9Dja61XK00gxXdl5pwFZUO0cYY.jpg
28.767355,11.627401,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/kUThHZFYM6mEH3REIQ76BGMdkAi.jpg
-49.33983,-23.989336,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/beHLGlkRWRHc4WHsXQBRzPpKH4M.jpg
23.096468,22.10856,9,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/yTijrPuaNVs6Tsud5fIrozBn4yU.jpg
-39.867332,-4.0276337,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/eBGoEyYS6LxomhuAx02VaB1dOJ7.jpg
-35.057487,2.4776664,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/iSPzdY7Zh81GqhpheMQ9ZwWPEXT.jpg
23.56005,-12.564312,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/ttPyvPt3mRED5EUJTIoRPYzz5N5.jpg
-9.339705,-14.597612,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/jDMQ08DqLevrjYtAT3XhBk0gP3w.jpg
17.132265,25.442356,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/dr3EZrzCk57tt1zdISOVis9aiVi.jpg
-16.565548,-31.33484,7,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/3DBDFqtCEVQwMCjBOOjhADFdbdi.jpg
-10.16529,12.977188,7,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/8yjJTGOJiTj4lGnkSFlUmUGsZCS.jpg
12.52915,18.780807,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/1j5RwwVZExmGUAnuPU7FD1udOY1.jpg
-4.414723,-27.457022,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/qTAynhh17JNDFOBzBTdz1WLvCyH.jpg
49.476902,25.256662,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/opZUuH8Xyh6rUwcLhgcQXltlwiU.jpg
11.584502,6.8018446,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/i8Fo2xWyiSpP5JizJjkHRTFYtas.jpg
