season_number,story_number,episode_number,episode_title,type,first_aired,uk_viewers,rating,duration,episode,overall_episode_number,writer,director
9,262,12,Hell Bent,episode,2015-12-05,6.17,82,61,9.12 Hell Bent,129,Steven Moffat,Rachel Talalay
9,263,NA,The Husbands of River Song,special,2015-12-25,7.69,82,56,9.X The Husbands of River Song,130,Steven Moffat,Douglas Mackinnon
10,264,NA,The Return of Doctor Mysterio,special,2016-12-25,7.83,82,60,10.X The Return of Doctor Mysterio,131,Steven Moffat,Ed Bazalgette
10,265,1,The Pilot,episode,2017-04-15,6.68,83,50,10.1 The Pilot,132,Steven Moffat,Lawrence Gough
10,266,2,Smile,episode,2017-04-22,5.98,83,46,10.2 Smile,133,Frank Cottrell-Boyce,Lawrence Gough
10,267,3,Thin Ice,episode,2017-04-29,5.61,84,44,10.3 Thin Ice,134,Sarah Dollard,Bill Anderson
10,268,4,Knock Knock,episode,2017-05-06,5.73,83,44,10.4 Knock Knock,135,Mike Bartlett,Bill Anderson
10,269,5,Oxygen,episode,2017-05-13,5.27,83,45,10.5 Oxygen,136,Jamie Mathieson,Charles Palmer
10,270,6,Extremis,episode,2017-05-20,5.53,82,49,10.6 Extremis,137,Steven Moffat,Daniel Nettheim
10,271,7,The Pyramid at the End of the World,episode,2017-05-27,5.79,82,46,10.7 The Pyramid at the End of the World,138,Peter Harness,Daniel Nettheim
10,271,7,The Pyramid at the End of the World,episode,2017-05-27,5.79,82,46,10.7 The Pyramid at the End of the World,138,Steven Moffat,Daniel Nettheim
10,272,8,The Lie of the Land,episode,2017-06-03,4.82,82,45,10.8 The Lie of the Land,139,Toby Whithouse,Wayne Yip
10,273,9,Empress of Mars,episode,2017-06-10,5.02,83,44,10.9 Empress of Mars,140,Mark Gatiss,Wayne Yip
10,274,10,The Eaters of Light,episode,2017-06-17,4.73,81,42,10.10 The Eaters of Light,141,Rona Munro,Charles Palmer
10,275a,11,World Enough and Time,episode,2017-06-24,5,85,46,10.11 World Enough and Time,142,Steven Moffat,Rachel Talalay
10,275b,12,The Doctor Falls,episode,2017-07-01,5.3,83,60,10.12 The Doctor Falls,143,Steven Moffat,Rachel Talalay
10,276,NA,Twice Upon a Time,special,2017-12-25,7.92,81,60,10.X Twice Upon a Time,144,Steven Moffat,Rachel Talalay
11,277,1,The Woman Who Fell to Earth,episode,2018-10-07,10.96,83,64,11.1 The Woman Who Fell to Earth,145,Chris Chibnall,Jamie Childs
11,278,2,The Ghost Monument,episode,2018-10-14,9,82,49,11.2 The Ghost Monument,146,Chris Chibnall,Mark Tonderai
11,279,3,Rosa,episode,2018-10-21,8.41,83,50,11.3 Rosa,147,Malorie Blackman,Mark Tonderai
11,279,3,Rosa,episode,2018-10-21,8.41,83,50,11.3 Rosa,147,Chris Chibnall,Mark Tonderai
11,280,4,Arachnids in the UK,episode,2018-10-28,8.22,83,49,11.4 Arachnids in the UK,148,Chris Chibnall,Sallie Aprahamian
11,281,5,The Tsuranga Conundrum,episode,2018-11-04,7.76,79,51,11.5 The Tsuranga Conundrum,149,Chris Chibnall,Jennifer Perrott
11,282,6,Demons of the Punjab,episode,2018-11-11,7.48,80,50,11.6 Demons of the Punjab,150,Vinay Patel,Jamie Childs
11,283,7,Kerblam!,episode,2018-11-18,7.46,81,49,11.7 Kerblam!,151,Pete McTighe,Jennifer Perrott
11,284,8,The Witchfinders,episode,2018-11-25,7.21,81,47,11.8 The Witchfinders,152,Joy Wilkinson,Sallie Aprahamian
11,285,9,It Takes You Away,episode,2018-12-02,6.42,80,49,11.9 It Takes You Away,153,Ed Hime,Jamie Childs
11,286,10,The Battle of Ranskoor Av Kolos,episode,2018-12-09,6.65,79,50,11.10 The Battle of Ranskoor Av Kolos,154,Chris Chibnall,Jamie Childs
11,287,NA,Resolution,special,2019-01-01,7.13,80,60,11.X Resolution,155,Chris Chibnall,Wayne Yip
12,288a,1,"Spyfall, Part 1",episode,2020-01-01,6.89,82,59,"12.1 Spyfall, Part 1",156,Chris Chibnall,Jamie Magnus Stone
12,288b,2,"Spyfall, Part 2",episode,2020-01-05,6.07,82,60,"12.2 Spyfall, Part 2",157,Chris Chibnall,Lee Haven Jones
