year,nearest_overall,n
1990,#3F3F3F,48.894814814814815
1990,#3F7F3F,16.05925925925926
1990,#3F7F7F,5.724444444444445
1990,#7F0000,13.973333333333333
1990,#7F3F3F,42.09777777777778
1990,#7F7F3F,10.394074074074073
1990,#7F7F7F,73.2237037037037
1990,#7FBFBF,6.275555555555555
1990,#BF7F00,9.297777777777778
1990,#BF7F3F,7.051851851851852
1990,#BF7F7F,5.448888888888889
1990,#BFBFBF,85.12592592592593
1990,#FF7F7F,17.484444444444446
1990,#FFBFBF,73.08444444444444
1990,#FFFFFF,126.4888888888889
1991,#000000,163.44296296296295
1991,#00003F,29.831111111111106
1991,#3F0000,71.19111111111111
1991,#3F3F3F,67.39851851851851
1991,#3F3F7F,21.06666666666667
1991,#3F3FBF,63.95555555555555
1991,#3F7F3F,10.548148148148147
1991,#7F3F3F,16.62222222222222
1991,#7F3FBF,12.79111111111111
1991,#7F7F3F,15.608888888888888
1991,#7F7F7F,37.45185185185185
1991,#7FBFBF,32.53333333333333
1991,#BF0000,22.16296296296296
1991,#BF3F3F,7.564444444444444
1991,#BF7F3F,9.345185185185185
1991,#BF7F7F,6.880000000000001
1991,#BFBF3F,9.902222222222223
1991,#BFBF7F,19.32148148148148
1991,#BFBFBF,123.81333333333333
1991,#BFBFFF,16.927407407407408
1991,#BFFFBF,13.854814814814814
1991,#BFFFFF,24.136296296296297
1991,#FF0000,7.022222222222223
1991,#FF003F,34.81777777777778
1991,#FF3F00,9.398518518518518
1991,#FFBF7F,4.66962962962963
1991,#FFBFBF,50.168888888888894
1991,#FFBFFF,99.2088888888889
1991,#FFFF7F,14.275555555555556
1991,#FFFFBF,99.68
1991,#FFFFFF,459.277037037037
1992,#000000,125.28
1992,#00003F,22.995555555555555
1992,#003F3F,17.875555555555557
1992,#3F0000,239.4874074074074
1992,#3F3F00,12.734814814814815
1992,#3F3F3F,60.44740740740741
1992,#3F7F7F,5.635555555555555
1992,#7F0000,49.68592592592593
1992,#7F3F00,4.521481481481481
1992,#7F3F3F,37.35703703703704
1992,#7F7F3F,45.92888888888889
1992,#7F7F7F,43.404444444444444
1992,#7F7FBF,39.06666666666667
1992,#7FBF3F,23.128888888888888
1992,#7FBFBF,3.5733333333333333
1992,#7FBFFF,15.333333333333336
1992,#BF0000,27.063703703703705
1992,#BF3F00,10.637037037037036
1992,#BF3F3F,198.1037037037037
1992,#BF7F3F,72.44444444444444
1992,#BF7F7F,19.365925925925925
1992,#BFBF7F,4.50074074074074
1992,#BFBFBF,113.49037037037037
1992,#BFBFFF,12.631111111111114
1992,#BFFFFF,26.565925925925924
1992,#FF3F00,15.37777777777778
1992,#FF7F3F,57.031111111111116
1992,#FFBF00,17.77777777777778
1992,#FFBFBF,112.81481481481481
1992,#FFBFFF,67.3274074074074
1992,#FFFFFF,291.5792592592593
1993,#000000,210.82962962962964
1993,#00003F,26.986666666666665
1993,#003F00,32.74666666666667
1993,#003F3F,19.04888888888889
1993,#3F0000,16.062222222222225
1993,#3F003F,14.764444444444443
1993,#3F3F00,27.943703703703704
1993,#3F3F3F,56.468148148148146
1993,#3F3F7F,111.44
1993,#3F3FBF,16.64888888888889
1993,#3F7FBF,64.35555555555555
1993,#3FBFFF,16.204444444444444
1993,#7F0000,6.755555555555555
1993,#7F3F3F,31.822222222222223
1993,#7F3F7F,12.826666666666664
1993,#7F7F7F,31.345185185185187
1993,#BF7F3F,47.69185185185185
1993,#BF7F7F,11.20888888888889
1993,#BFBFBF,201.99703703703702
1993,#BFFFFF,50.408888888888896
1993,#FFBF3F,11.04
1993,#FFBF7F,16.610370370370372
1993,#FFBFBF,179.4488888888889
1993,#FFFF7F,27.342222222222226
1993,#FFFFBF,56.11555555555556
1994,#000000,33.44
1994,#00003F,31.946666666666665
1994,#003F00,61.94962962962963
1994,#003F3F,12.515555555555554
1994,#003F7F,73.21777777777777
1994,#007F7F,35.06074074074074
1994,#007FBF,20.968888888888888
1994,#3F0000,64.24000000000001
1994,#3F003F,16.204444444444444
1994,#3F3F3F,125.54962962962964
1994,#3F3F7F,27.004444444444445
1994,#3F3FBF,64.8711111111111
1994,#3F7F7F,8.257777777777777
1994,#3F7FBF,43.339259259259265
1994,#7F0000,42.32
1994,#7F3F3F,22.57777777777778
1994,#7F7F3F,24.35851851851852
1994,#7F7F7F,52.776296296296294
1994,#7FBFBF,51.23555555555556
1994,#7FBFFF,12.764444444444445
1994,#BF003F,8.924444444444445
1994,#BF3F00,40.93333333333334
1994,#BF7F3F,43.28
1994,#BF7F7F,15.928888888888888
1994,#BFBF00,8.115555555555556
1994,#BFBF7F,8.474074074074075
1994,#BFBFBF,25.318518518518516
1994,#BFBFFF,27.89037037037037
1994,#FF3F00,11.653333333333334
1994,#FF7F00,13.324444444444445
1994,#FFBF00,29.35111111111111
1994,#FFBF7F,27.777777777777775
1994,#FFBFBF,138.4
1994,#FFBFFF,55.23555555555555
1994,#FFFFBF,116.51555555555555
1995,#000000,271.33037037037036
1995,#00003F,2.974814814814815
1995,#00007F,22.37037037037037
1995,#003F7F,13.650370370370371
1995,#007F7F,12.491851851851852
1995,#3F0000,56.23407407407407
1995,#3F3F00,79.07555555555557
1995,#3F3F3F,100.40888888888888
1995,#3F3F7F,6.527407407407407
1995,#3F7F3F,8.93925925925926
1995,#3F7FBF,27.40740740740741
1995,#7F3F3F,49.925925925925924
1995,#7F7F3F,34.456296296296294
1995,#7F7F7F,34.459259259259255
1995,#7F7FBF,32.61037037037037
1995,#7FBF7F,15.712592592592593
1995,#7FBFBF,107.55555555555556
1995,#BF3F3F,60.239999999999995
1995,#BF7F3F,15.386666666666668
1995,#BF7F7F,15.25925925925926
1995,#BFBF7F,34.20444444444445
1995,#BFBFBF,270.26666666666665
1995,#BFBFFF,42.55407407407407
1995,#BFFFBF,31.315555555555555
1995,#BFFFFF,30.83555555555556
1995,#FF7F3F,7.543703703703704
1995,#FFBF7F,29.413333333333334
1995,#FFBFBF,149.22962962962964
1995,#FFFFBF,49.8962962962963
1995,#FFFFFF,88.28148148148148
1996,#000000,127.41925925925926
1996,#00003F,23.315555555555555
1996,#00007F,60.37333333333334
1996,#003F00,23.466666666666665
1996,#003F3F,35.949629629629634
1996,#003F7F,85.42518518518519
1996,#003FBF,29.875555555555557
1996,#007F3F,24.826666666666664
1996,#007FBF,26.234074074074073
1996,#00BF3F,9.226666666666667
1996,#00BFBF,15.01925925925926
1996,#3F0000,226.43259259259258
1996,#3F003F,42.038518518518515
1996,#3F3F00,15.191111111111113
1996,#3F3F3F,161.19407407407408
1996,#3F3FBF,37.23259259259259
1996,#3F7F00,6.915555555555556
1996,#3F7F7F,26.533333333333335
1996,#3F7FBF,122.74666666666667
1996,#3FBFBF,4.5125925925925925
1996,#7F0000,47.58814814814815
1996,#7F3F3F,81.88740740740741
1996,#7F7F3F,24.109629629629627
1996,#7F7F7F,51.979259259259265
1996,#7F7FBF,33.303703703703704
1996,#7F7FFF,12.882962962962964
1996,#7FBFBF,23.79851851851852
1996,#BF0000,12.213333333333335
1996,#BF7F3F,24.50074074074074
1996,#BF7F7F,38.73777777777778
1996,#BFBF7F,22.346666666666664
1996,#BFBFBF,108.59555555555556
1996,#BFBFFF,15.12
1996,#BFFF3F,3.339259259259259
1996,#BFFFBF,14.062222222222223
1996,#BFFFFF,53.004444444444445
1996,#FF3F00,13.28888888888889
1996,#FF7F7F,7.199999999999999
1996,#FFBF00,11.20888888888889
1996,#FFBF3F,16.82962962962963
1996,#FFBFBF,107.11703703703704
1996,#FFFF00,12.408888888888889
1996,#FFFF3F,50.38518518518518
1996,#FFFF7F,31.081481481481482
1996,#FFFFBF,223.79851851851853
1996,#FFFFFF,260.4385185185185
1997,#000000,237.09037037037035
1997,#00003F,3.7451851851851856
1997,#003F00,23.2
1997,#003F7F,7.493333333333334
1997,#007FBF,29.47555555555556
1997,#3F0000,84.97185185185185
1997,#3F003F,24.57777777777778
1997,#3F007F,38.76444444444444
1997,#3F3F00,51.2562962962963
1997,#3F3F3F,75.17037037037036
1997,#3F3F7F,18.88
1997,#3F7FBF,70.89481481481482
1997,#7F0000,28.485925925925926
1997,#7F3F3F,57.736296296296295
1997,#7F3F7F,16.817777777777778
1997,#7F7F3F,6.127407407407407
1997,#7F7F7F,10.24
1997,#7F7FBF,9.937777777777777
1997,#7FBF3F,13.291851851851852
1997,#7FBFFF,53.404444444444444
1997,#7FFFFF,90.27555555555554
1997,#BF7F3F,15.164444444444444
1997,#BF7F7F,3.6059259259259258
1997,#BF7FFF,24.93333333333333
1997,#BFBF7F,50.379259259259264
1997,#BFBFBF,55.3837037037037
1997,#BFBFFF,16.62222222222222
1997,#BFFFFF,45.29185185185185
1997,#FFBF00,5.102222222222222
1997,#FFBF7F,14.56
1997,#FFBFBF,226.8562962962963
1997,#FFBFFF,13.813333333333334
1997,#FFFFFF,183.12296296296296
1998,#000000,463.0311111111111
1998,#00003F,8.136296296296296
1998,#003F00,27.422222222222224
1998,#003F3F,48.57777777777778
1998,#003F7F,26.414814814814815
1998,#003FBF,18.826666666666664
1998,#007FBF,4.18962962962963
1998,#3F0000,72.56
1998,#3F003F,21.114074074074075
1998,#3F3F00,47.511111111111106
1998,#3F3F3F,32.01481481481481
1998,#3F3FBF,18.9037037037037
1998,#3F7FBF,33.78370370370371
1998,#3F7FFF,18.99555555555556
1998,#7F3F00,6.551111111111111
1998,#7F3F3F,26.388148148148147
1998,#7F7F3F,9.386666666666667
1998,#7F7F7F,7.774814814814814
1998,#7F7FBF,31.946666666666665
1998,#7FBFBF,5.694814814814815
1998,#7FBFFF,9.007407407407406
1998,#BF3F3F,17.282962962962962
1998,#BF7F00,18.435555555555556
1998,#BF7F3F,33.66814814814815
1998,#BF7F7F,6.148148148148149
1998,#BFBF3F,7.73925925925926
1998,#BFBFBF,69.70962962962963
1998,#BFBFFF,78.41185185185185
1998,#BFFFBF,7.232592592592593
1998,#BFFFFF,31.37777777777778
1998,#FFBF7F,6.165925925925926
