tconst,adult,backdrop_path,id,title,original_language,original_title,overview,poster_path,media_type,genre_ids,popularity,release_date,video,vote_average,vote_count
tt9033712,FALSE,/opvymPgWyoOvwL2YXdGryKYSagn.jpg,550020,Christmas in Love,en,Christmas in Love,"Ellie Hartman is an aspiring crafter working in her small town’s bakery making famous Christmas Kringles. When the new, big-city CEO Nick Carlingson visits the bakery, he arrives filled with modernization ideas destined to lay off many employees.",/iDK96L8yN092QuRbfVqFUmT2FnS.jpg,movie,"10770, 10749, 10751, 35",11.531,2018-12-23,FALSE,6.2,59
tt9033712,FALSE,/opvymPgWyoOvwL2YXdGryKYSagn.jpg,550020,Christmas in Love,en,Christmas in Love,"Ellie Hartman is an aspiring crafter working in her small town’s bakery making famous Christmas Kringles. When the new, big-city CEO Nick Carlingson visits the bakery, he arrives filled with modernization ideas destined to lay off many employees.",/iDK96L8yN092QuRbfVqFUmT2FnS.jpg,movie,"10770, 10749, 10751, 35",11.531,2018-12-23,FALSE,6.2,59
tt9047392,FALSE,/cO6fzYJE8GoinoB9LdpsYBxX4PV.jpg,558815,A Christmas Village,en,A Christmas Village,"Piper Jansen is a slick public relations genius and owner of her own company ""Piper's Picks."" After creating countless successful campaigns, she decides to use her grandmother's holiday recipes to write and launch a book of her own but, suddenly finds herself in the middle of a very public scandal that threatens the launch of the book as well as her business.",/uejnp7Vcd4UV1IQWMZgPsm9UG4T.jpg,movie,"10749, 10770",5.427,2018-11-20,FALSE,4.406,16
tt9047392,FALSE,/cO6fzYJE8GoinoB9LdpsYBxX4PV.jpg,558815,A Christmas Village,en,A Christmas Village,"Piper Jansen is a slick public relations genius and owner of her own company ""Piper's Picks."" After creating countless successful campaigns, she decides to use her grandmother's holiday recipes to write and launch a book of her own but, suddenly finds herself in the middle of a very public scandal that threatens the launch of the book as well as her business.",/uejnp7Vcd4UV1IQWMZgPsm9UG4T.jpg,movie,"10749, 10770",5.427,2018-11-20,FALSE,4.406,16
tt9047392,FALSE,/cO6fzYJE8GoinoB9LdpsYBxX4PV.jpg,558815,A Christmas Village,en,A Christmas Village,"Piper Jansen is a slick public relations genius and owner of her own company ""Piper's Picks."" After creating countless successful campaigns, she decides to use her grandmother's holiday recipes to write and launch a book of her own but, suddenly finds herself in the middle of a very public scandal that threatens the launch of the book as well as her business.",/uejnp7Vcd4UV1IQWMZgPsm9UG4T.jpg,movie,"10749, 10770",5.427,2018-11-20,FALSE,4.406,16
tt9058820,FALSE,/rko9Scr6jQ8McmBWwRuq8nC85Dt.jpg,551603,My Christmas Inn,en,My Christmas Inn,"With the holiday season in full swing, Jen Taylor is about to score a big promotion at the San Francisco ad agency where she works. But her life is unexpectedly turned upside down when she inherits a cozy inn in Alaska from her aunt. When she goes to inspect the property and meets handsome town attorney Steve Anderson, she's surprised to find that nothing is what she expected. The small town community is full of fun and festive Christmas traditions and soon, Jen starts wondering if the inn might just be the place she belongs, and if Steve could be the Mr. Right she has been waiting for.",/dSsJ68MHxtmnMOIaqafPm9SvfDa.jpg,movie,"10749, 10770",12.947,2018-11-21,FALSE,6.086,111
tt9058820,FALSE,/rko9Scr6jQ8McmBWwRuq8nC85Dt.jpg,551603,My Christmas Inn,en,My Christmas Inn,"With the holiday season in full swing, Jen Taylor is about to score a big promotion at the San Francisco ad agency where she works. But her life is unexpectedly turned upside down when she inherits a cozy inn in Alaska from her aunt. When she goes to inspect the property and meets handsome town attorney Steve Anderson, she's surprised to find that nothing is what she expected. The small town community is full of fun and festive Christmas traditions and soon, Jen starts wondering if the inn might just be the place she belongs, and if Steve could be the Mr. Right she has been waiting for.",/dSsJ68MHxtmnMOIaqafPm9SvfDa.jpg,movie,"10749, 10770",12.947,2018-11-21,FALSE,6.086,111
tt9058820,FALSE,/rko9Scr6jQ8McmBWwRuq8nC85Dt.jpg,551603,My Christmas Inn,en,My Christmas Inn,"With the holiday season in full swing, Jen Taylor is about to score a big promotion at the San Francisco ad agency where she works. But her life is unexpectedly turned upside down when she inherits a cozy inn in Alaska from her aunt. When she goes to inspect the property and meets handsome town attorney Steve Anderson, she's surprised to find that nothing is what she expected. The small town community is full of fun and festive Christmas traditions and soon, Jen starts wondering if the inn might just be the place she belongs, and if Steve could be the Mr. Right she has been waiting for.",/dSsJ68MHxtmnMOIaqafPm9SvfDa.jpg,movie,"10749, 10770",12.947,2018-11-21,FALSE,6.086,111
tt9059048,FALSE,/fa0CEV2NhwHbFpDeL0sPbrEnCna.jpg,552012,The Christmas Pact,en,The Christmas Pact,"Can best friends fall in love? That’s the question next door neighbors Sadie and Ben will answer as they keep the spirit of Christmas and the magic of their childhood pact alive! When they were eight years old, they planted a scrawny 3-foot tall Christmas tree behind their church and the Christmas Pact began. But as life gets in the way the pact is threatened to be broken. Ben and Sadie need some Christmas Magic to recommit to each other and promise to keep their special holiday traditions. With each Christmas that passes by, Ben and Sadie’s Christmas tree grows taller and stronger; and so does their love. The pact bearing fruit to the magic of Christmas and the undeniable answer. Yes, friends can fall in love!",/pR0XSTY2z24lZexguW5wVRrsZQI.jpg,movie,"10749, 10770",7.504,2018-12-02,FALSE,6.2,15
tt9059048,FALSE,/fa0CEV2NhwHbFpDeL0sPbrEnCna.jpg,552012,The Christmas Pact,en,The Christmas Pact,"Can best friends fall in love? That’s the question next door neighbors Sadie and Ben will answer as they keep the spirit of Christmas and the magic of their childhood pact alive! When they were eight years old, they planted a scrawny 3-foot tall Christmas tree behind their church and the Christmas Pact began. But as life gets in the way the pact is threatened to be broken. Ben and Sadie need some Christmas Magic to recommit to each other and promise to keep their special holiday traditions. With each Christmas that passes by, Ben and Sadie’s Christmas tree grows taller and stronger; and so does their love. The pact bearing fruit to the magic of Christmas and the undeniable answer. Yes, friends can fall in love!",/pR0XSTY2z24lZexguW5wVRrsZQI.jpg,movie,"10749, 10770",7.504,2018-12-02,FALSE,6.2,15
tt9059048,FALSE,/fa0CEV2NhwHbFpDeL0sPbrEnCna.jpg,552012,The Christmas Pact,en,The Christmas Pact,"Can best friends fall in love? That’s the question next door neighbors Sadie and Ben will answer as they keep the spirit of Christmas and the magic of their childhood pact alive! When they were eight years old, they planted a scrawny 3-foot tall Christmas tree behind their church and the Christmas Pact began. But as life gets in the way the pact is threatened to be broken. Ben and Sadie need some Christmas Magic to recommit to each other and promise to keep their special holiday traditions. With each Christmas that passes by, Ben and Sadie’s Christmas tree grows taller and stronger; and so does their love. The pact bearing fruit to the magic of Christmas and the undeniable answer. Yes, friends can fall in love!",/pR0XSTY2z24lZexguW5wVRrsZQI.jpg,movie,"10749, 10770",7.504,2018-12-02,FALSE,6.2,15
tt9083646,FALSE,/kuhLYIR9HDIOOFQWg1uWFQZX0e.jpg,553798,Christmas on Honeysuckle Lane,en,Christmas on Honeysuckle Lane,"Emma Reynolds returns to Oliver's Well to celebrate Christmas for the last time with her siblings in the home they grew up in. After their parents recently passed, the siblings reluctantly agree to sell the family home on Honeysuckle Lane after the New Year, leaving Emma in charge of its belongings. While antiques expert Morgan Shelby appraises Emma's mother's collection, they find a hidden surprise in an antique desk that takes them on a journey to discover the power of love and family during the holidays.",/yEEXq5VYP0gvaCYRiyag4BvZcTx.jpg,movie,"10770, 10749",7.685,2018-11-24,FALSE,6.224,38
tt9083646,FALSE,/kuhLYIR9HDIOOFQWg1uWFQZX0e.jpg,553798,Christmas on Honeysuckle Lane,en,Christmas on Honeysuckle Lane,"Emma Reynolds returns to Oliver's Well to celebrate Christmas for the last time with her siblings in the home they grew up in. After their parents recently passed, the siblings reluctantly agree to sell the family home on Honeysuckle Lane after the New Year, leaving Emma in charge of its belongings. While antiques expert Morgan Shelby appraises Emma's mother's collection, they find a hidden surprise in an antique desk that takes them on a journey to discover the power of love and family during the holidays.",/yEEXq5VYP0gvaCYRiyag4BvZcTx.jpg,movie,"10770, 10749",7.685,2018-11-24,FALSE,6.224,38
tt9087578,FALSE,/nCG3zOQlS2IrFWdJNTlKIwjBGA.jpg,552004,Once Upon a Christmas Miracle,en,Once Upon a Christmas Miracle,"Told she would have less than a few months to live without a liver transplant, Heather Krueger’s time was running out when a kind stranger, Chris Dempsey, heard of her plight and discovered he was a perfect match. The two met and before long a friendship developed into romance. The movie follows Heather and Chris’ journey over three Christmases as his selfless gesture leads to a Christmas miracle for everyone involved. Based on a true story.",/aSY8EsGoo9GmQrzOm0dEbQ3BYHX.jpg,movie,"10749, 18, 10770, 35",8.883,2018-12-02,FALSE,6.4,44
tt9087578,FALSE,/nCG3zOQlS2IrFWdJNTlKIwjBGA.jpg,552004,Once Upon a Christmas Miracle,en,Once Upon a Christmas Miracle,"Told she would have less than a few months to live without a liver transplant, Heather Krueger’s time was running out when a kind stranger, Chris Dempsey, heard of her plight and discovered he was a perfect match. The two met and before long a friendship developed into romance. The movie follows Heather and Chris’ journey over three Christmases as his selfless gesture leads to a Christmas miracle for everyone involved. Based on a true story.",/aSY8EsGoo9GmQrzOm0dEbQ3BYHX.jpg,movie,"10749, 18, 10770, 35",8.883,2018-12-02,FALSE,6.4,44
tt9087578,FALSE,/nCG3zOQlS2IrFWdJNTlKIwjBGA.jpg,552004,Once Upon a Christmas Miracle,en,Once Upon a Christmas Miracle,"Told she would have less than a few months to live without a liver transplant, Heather Krueger’s time was running out when a kind stranger, Chris Dempsey, heard of her plight and discovered he was a perfect match. The two met and before long a friendship developed into romance. The movie follows Heather and Chris’ journey over three Christmases as his selfless gesture leads to a Christmas miracle for everyone involved. Based on a true story.",/aSY8EsGoo9GmQrzOm0dEbQ3BYHX.jpg,movie,"10749, 18, 10770, 35",8.883,2018-12-02,FALSE,6.4,44
tt9093130,FALSE,/dk4F4eWeGvnmdlCB6Ow5afebaBV.jpg,554282,Time for Me to Come Home for Christmas,en,Time for Me to Come Home for Christmas,"Famous musician Heath and small-town girl Cara are each traveling back to Oklahoma for the holidays when they get stranded in Chicago. Despite his fame, she has no idea who he is, but they hit it off—and she even ends up providing some inspiration for the Christmas song he's writing.",/jM6szxRXdVepT3Kw48pDWySlCnM.jpg,movie,"10749, 18, 10770",7.123,2018-12-15,FALSE,6.7,46
