id,chapter,title,date,location,year,chapter_city,latitude,longitude
265962563,rladies-pasadena,RLadies Pasadena Meetup - Building a Personal Website Using Blogdown,2019-11-06,inperson,2019,"Pasadena, CA",34.1476507,-118.1441551
266080997,rladies-freiburg,Modeling in R - Part Two,2019-11-06,inperson,2019,Freiburg,47.9960901,7.8494005
265411199,rladies-lancaster,Dates & times with lubridate,2019-11-06,inperson,2019,"Lancaster, H2",40.78898075,-96.69991852974145
264585260,rladies-chicago,R-Ladies Project Night on a Wednesday,2019-11-06,inperson,2019,"Chicago, IL",41.8755616,-87.6244212
266217867,rladies-fayetteville,R Ladies Meeting # 2 ,2019-11-06,inperson,2019,"Fayetteville, AR",36.0625843,-94.1574328
266014306,rladies-bilbao,Desarrollo de paquetes de R con RStudio,2019-11-05,inperson,2019,Bilbao,43.2630018,-2.9350039
266063725,rladies-christchurch,Data ethics for data scientists,2019-11-05,inperson,2019,Christchurch,-43.530955,172.6364343
265288328,rladies-charlottesville,Github for the UseR,2019-11-05,inperson,2019,"Charlottesville, VA",38.029306,-78.4766781
266232674,rladies-ames,TidyTuesday,2019-11-05,inperson,2019,"Ames, IA",42.0267567,-93.6170448
266016148,rladies-lyon,"dplyr: episode 9, the rise of the vctrs",2019-11-04,inperson,2019,Lyon,45.7578137,4.8320114
265559935,rladies-philly,Data Analytics in Public Health  ,2019-11-04,inperson,2019,"Philadelphia, PA",39.9527237,-75.1635262
266106442,rladies-lyon,"*Pre-event*co-learning: dplyr, what happened so far up to episode 8?!",2019-11-03,inperson,2019,Lyon,45.7578137,4.8320114
266029689,rladies-amsterdam,Winter Code-a-thon Kick-Off,2019-11-02,inperson,2019,Amsterdam,52.3730796,4.8924534
265925621,rladies-sao-paulo,14º Meetup R-Ladies São Paulo - Machine Learning,2019-10-31,inperson,2019,São Paulo,-1.2043218,-47.1583944
265650391,rladies-auckland,"Signed, sealed, delivered: An introduction to developing R packages",2019-10-31,inperson,2019,Auckland,-36.852095,174.7631803
265920208,rladies-la-paz,Mis primeros pasos en R. Aprendiendo tidyverse con datos de Game of Thrones.,2019-10-30,inperson,2019,La Paz,-16.4955455,-68.1336229
250503894,rladies-guayaquil,¡Primer meet-up R-Ladies Guayaquil!,2019-10-30,inperson,2019,Guayaquil,-2.1900563,-79.8868741
265474030,rladies-santa-barbara,Basics of building Shiny apps in R,2019-10-30,inperson,2019,"Santa Barbara, CA",34.4221319,-119.702667
265708048,rladies-edinburgh,R Markdown – from RStudio to Word/PDF/website with a single push of a button,2019-10-30,inperson,2019,"Edinburgh, U8",55.9533456,-3.1883749
266008967,rladies-denver,R-Ladies First Meetup,2019-10-29,inperson,2019,"Denver, CO",39.7392364,-104.984862
265944293,rladies-dallas,October R-Ladies Community Meetup @ UT-Dallas,2019-10-29,inperson,2019,"Dallas, TX",32.7762719,-96.7968559
265538298,rladies-austin,Spooky Data Stories / Halloween Happy Hour!,2019-10-29,inperson,2019,"Austin, TX",30.2711286,-97.7436995
265516062,rladies-seattle,Spooky data stories,2019-10-29,inperson,2019,"Seattle, WA",47.6038321,-122.330062
265394213,rladies-florianopolis,5º Meetup R-Ladies Floripa | Minicurso de R,2019-10-29,inperson,2019,Florianópolis,-27.5973002,-48.5496098
265379879,rladies-chicago,Hacktoberfest: Hack or Treat!,2019-10-29,inperson,2019,"Chicago, IL",41.8755616,-87.6244212
265253197,rladies-perth,Book Club - R for Data Science,2019-10-29,inperson,2019,Perth,-31.9558933,115.8605855
265179803,rladies-boston,R-Ladies Boston & Boston useR Group: Lightning Talks with the Tidyverse Team,2019-10-29,inperson,2019,"Boston, MA",42.3554334,-71.060511
265113531,rladies-budapest,OktóbeR,2019-10-29,inperson,2019,Budapest,47.4978918,19.0401609
265612365,rladies-johannesburg,Oct meetup: Survival analysis in R,2019-10-29,inperson,2019,Johannesburg,-26.205,28.049722
265925766,rladies-san-jose,Introducción a Xaringan,2019-10-29,inperson,2019,San Jose,37.3361663,-121.890591
265776348,rladies-bariloche,Graficando con ggplot2 TURNO TARDE,2019-10-29,inperson,2019,San Carlos de Bariloche,-41.1334421,-71.3098425
266029113,rladies-ames,TidyTuesday,2019-10-29,inperson,2019,"Ames, IA",42.0267567,-93.6170448
265776329,rladies-bariloche,Graficando con ggplot2 TURNO MAÑANA,2019-10-29,inperson,2019,San Carlos de Bariloche,-41.1334421,-71.3098425
265470327,rladies-taipei,[ML Series] Machine Learning 從入門到崩潰,2019-10-28,inperson,2019,Taipei,25.0375198,121.5636796
265832488,rladies-melbourne,"R-Shiny Tricks or Treats, Maybe Both?",2019-10-28,inperson,2019,Melbourne,-37.8142454,144.9631732
264432409,rladies-oslo,Lightning talks with RLadies Oslo - inspire and be inspired!,2019-10-28,inperson,2019,Oslo,59.9133301,10.7389701
265894398,rladies-jakarta,R-Ladies Jakarta 4th Meetup: Visualization,2019-10-26,inperson,2019,Jakarta,-6.175247,106.8270488
265685583,rladies-novi-sad,Meetup #4 Vizualizacija u R-u,2019-10-26,inperson,2019,Novi Sad,45.2551338,19.8451756
265368186,rladies-kyiv,Cluster Analysis in R: Basic Concepts and Methods,2019-10-26,inperson,2019,Kyiv,50.4500336,30.5241361
263835401,rladies-miami,Accelerated Design Thinking Sprint Workshop,2019-10-26,inperson,2019,"Miami, FL",25.7741728,-80.19362
265195019,rladies-rio,Meetup R-Ladies Rio de Janeiro Outubro 2019 ,2019-10-24,inperson,2019,Rio de Janeiro,-22.9110137,-43.2093727
265380118,rladies-concepcion,Minería de Textos,2019-10-24,inperson,2019,Concepción,-36.8270795,-73.0502399
