word,month,n,month_total,percent,year
owned,3,0,35,0,1970.0027397260274
owned,4,0,20,0,1970.0027397260274
owned,5,0,20,0,1970.0027397260274
owned,6,0,11,0,1970.0027397260274
owned,7,0,24,0,1970.0027397260274
owned,8,0,17,0,1970.0027397260274
owned,9,0,29,0,1970.0027397260274
owned,10,1,24,0.041666666666666664,1970.0027397260274
owned,11,0,23,0,1970.0027397260274
owned,12,0,21,0,1970.0027397260274
owner,1,0,19,0,1970.0027397260274
owner,2,0,10,0,1970.0027397260274
owner,3,1,35,0.02857142857142857,1970.0027397260274
owner,4,0,20,0,1970.0027397260274
owner,5,1,20,0.05,1970.0027397260274
owner,6,0,11,0,1970.0027397260274
owner,7,0,24,0,1970.0027397260274
owner,8,0,17,0,1970.0027397260274
owner,9,0,29,0,1970.0027397260274
owner,10,0,24,0,1970.0027397260274
owner,11,1,23,0.043478260869565216,1970.0027397260274
owner,12,0,21,0,1970.0027397260274
package,1,0,19,0,1970.0027397260274
package,2,0,10,0,1970.0027397260274
package,3,0,35,0,1970.0027397260274
package,4,0,20,0,1970.0027397260274
package,5,0,20,0,1970.0027397260274
package,6,0,11,0,1970.0027397260274
package,7,1,24,0.041666666666666664,1970.0027397260274
package,8,0,17,0,1970.0027397260274
package,9,0,29,0,1970.0027397260274
package,10,0,24,0,1970.0027397260274
package,11,0,23,0,1970.0027397260274
package,12,0,21,0,1970.0027397260274
paid,1,0,19,0,1970.0027397260274
paid,2,0,10,0,1970.0027397260274
paid,3,1,35,0.02857142857142857,1970.0027397260274
paid,4,0,20,0,1970.0027397260274
paid,5,0,20,0,1970.0027397260274
paid,6,0,11,0,1970.0027397260274
paid,7,0,24,0,1970.0027397260274
paid,8,0,17,0,1970.0027397260274
paid,9,0,29,0,1970.0027397260274
paid,10,0,24,0,1970.0027397260274
paid,11,0,23,0,1970.0027397260274
paid,12,0,21,0,1970.0027397260274
pain,1,0,19,0,1970.0027397260274
pain,2,0,10,0,1970.0027397260274
pain,3,0,35,0,1970.0027397260274
pain,4,0,20,0,1970.0027397260274
pain,5,0,20,0,1970.0027397260274
pain,6,0,11,0,1970.0027397260274
pain,7,0,24,0,1970.0027397260274
pain,8,0,17,0,1970.0027397260274
pain,9,0,29,0,1970.0027397260274
pain,10,1,24,0.041666666666666664,1970.0027397260274
pain,11,0,23,0,1970.0027397260274
pain,12,0,21,0,1970.0027397260274
pair,1,0,19,0,1970.0027397260274
pair,2,0,10,0,1970.0027397260274
pair,3,0,35,0,1970.0027397260274
pair,4,0,20,0,1970.0027397260274
pair,5,0,20,0,1970.0027397260274
pair,6,1,11,0.09090909090909091,1970.0027397260274
pair,7,0,24,0,1970.0027397260274
pair,8,1,17,0.058823529411764705,1970.0027397260274
pair,9,0,29,0,1970.0027397260274
pair,10,0,24,0,1970.0027397260274
pair,11,0,23,0,1970.0027397260274
pair,12,0,21,0,1970.0027397260274
pajamas,1,0,19,0,1970.0027397260274
pajamas,2,0,10,0,1970.0027397260274
pajamas,3,1,35,0.02857142857142857,1970.0027397260274
pajamas,4,0,20,0,1970.0027397260274
pajamas,5,0,20,0,1970.0027397260274
pajamas,6,0,11,0,1970.0027397260274
pajamas,7,0,24,0,1970.0027397260274
pajamas,8,0,17,0,1970.0027397260274
