album_name,ep,album_release,track_number,track_name,artist,featuring,bonus_track,promotional_release,single_release,track_release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode,line,lyric,element,element_artist
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,35,I'm still on that trapeze,Bridge,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,36,I'm still trying everything to keep you looking at me,Bridge,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,37,Because I'm a mirrorball,Outro,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,38,I'm a mirrorball,Outro,Taylor Swift
folklore,FALSE,2020-07-24,6,mirrorball,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.549,0.417,7,-10.064,1,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,FALSE,G,major,G major,39,And I'll show you every version of yourself tonight,Outro,Taylor Swift
folklore,FALSE,2020-07-24,7,seven,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59e-5,0.0902,0.374,94.955,4,208907,FALSE,E,major,E major,1,Please picture me in the trees,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,7,seven,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59e-5,0.0902,0.374,94.955,4,208907,FALSE,E,major,E major,2,I hit my peak at seven,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,7,seven,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59e-5,0.0902,0.374,94.955,4,208907,FALSE,E,major,E major,3,Feet in the swing over the creek,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,7,seven,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59e-5,0.0902,0.374,94.955,4,208907,FALSE,E,major,E major,4,I was too scared to jump in,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,7,seven,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59e-5,0.0902,0.374,94.955,4,208907,FALSE,E,major,E major,5,"But I, I was high in the sky",Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,7,seven,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59e-5,0.0902,0.374,94.955,4,208907,FALSE,E,major,E major,6,With Pennsylvania under me,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,7,seven,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59e-5,0.0902,0.374,94.955,4,208907,FALSE,E,major,E major,7,Are there still beautiful things?,Verse 1,Taylor Swift
folklore,FALSE,2020-07-24,7,seven,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59e-5,0.0902,0.374,94.955,4,208907,FALSE,E,major,E major,8,Sweet tea in the summer,Chorus,Taylor Swift
folklore,FALSE,2020-07-24,7,seven,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59e-5,0.0902,0.374,94.955,4,208907,FALSE,E,major,E major,9,"Cross your heart, won't tell no other",Chorus,Taylor Swift
folklore,FALSE,2020-07-24,7,seven,Taylor Swift,NA,FALSE,NA,NA,2020-07-24,0.602,0.494,4,-10.813,1,0.0277,0.888,2.59e-5,0.0902,0.374,94.955,4,208907,FALSE,E,major,E major,10,And though I can't recall your face,Chorus,Taylor Swift
