name,type,ra,dec,image
Delta Scorpii,Star,240.083355346,-22.621706426,NA
Deneb,Star,310.357979753,45.280338807,http://commons.wikimedia.org/wiki/Special:FilePath/Deneb%20CLP.jpg
Double Cluster,Cluster,35.125,57.133,http://commons.wikimedia.org/wiki/Special:FilePath/NGC869NGC884.jpg
Draconids,Constellation,17.467,54,NA
Dubhe,Star,165.931964674,61.751034688,http://commons.wikimedia.org/wiki/Special:FilePath/Ursa%20major%20star%20name.png
Dumbbell Nebula,Nebula,299.9015133717808,22.7211978791566,http://commons.wikimedia.org/wiki/Special:FilePath/Messier27.jpg
Dwingeloo 1,Galaxy,44.2151566511154,58.91171074630556,http://commons.wikimedia.org/wiki/Special:FilePath/Dwingeloo%201%20%28WISE%29.png
ESO 137-001,Galaxy,243.3637708,-60.7640528,http://commons.wikimedia.org/wiki/Special:FilePath/New%20Hubble%20image%20of%20spiral%20galaxy%20ESO%20137-001.jpg
Eagle Nebula,Nebula,274.7,-13.8067,http://commons.wikimedia.org/wiki/Special:FilePath/Eagle%20Nebula%20from%20ESO.jpg
Earendel,Star,24.3458,-8.4644,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Sunrise%20Arc%20galaxy%20with%20lensed%20star%20Earendel%20-b.png
Egg Nebula,Nebula,315.576125,36.693611,http://commons.wikimedia.org/wiki/Special:FilePath/Egg%20Nebula.jpg
Einstein Cross,Galaxy,340.125975,3.3585083,http://commons.wikimedia.org/wiki/Special:FilePath/Einstein%20cross.jpg
El Gordo,Cluster,15.71875,-49.249444,http://commons.wikimedia.org/wiki/Special:FilePath/ACT-CL%20J0102%E2%88%924915.jpg
Elephant's Trunk nebula,Nebula,324,57.4,http://commons.wikimedia.org/wiki/Special:FilePath/54345main%20ic1396%20highres.jpg
Epsilon Arietis,Star,44.803022316,21.340432636,NA
Epsilon Aurigae,Star,75.49222653615,43.82331030981,http://commons.wikimedia.org/wiki/Special:FilePath/Epsilon%20Aurigae.png
Epsilon Tauri,Star,67.15416772966458,19.18043420581389,NA
Eta Carinae,Star,161.26474075372,-59.6844587777,http://commons.wikimedia.org/wiki/Special:FilePath/EtaCarinae.jpg
Eta Geminorum,Star,93.71935536055372,22.50678732717083,http://commons.wikimedia.org/wiki/Special:FilePath/IC%20443.jpg
FN Canis Majoris,Star,106.669861327,-11.294011011,NA
Flame Nebula,Nebula,85.4292,-1.8417,http://commons.wikimedia.org/wiki/Special:FilePath/The%20hidden%20fires%20of%20the%20Flame%20Nebula.jpg
Fomalhaut,Star,344.412666,-29.6222222,http://commons.wikimedia.org/wiki/Special:FilePath/Wide-field%20view%20of%20the%20sky%20around%20the%20bright%20star%20Fomalhaut%20%28eso1216c%29.jpg
Fornax Cluster,Cluster,54.625,-35.455,http://commons.wikimedia.org/wiki/Special:FilePath/Wide-field%20view%20of%20the%20Fornax%20Galaxy%20Cluster.jpg
GRB 130427A,Galaxy,173.136833,27.698944,http://commons.wikimedia.org/wiki/Special:FilePath/NASA%27s%20Fermi%2C%20Swift%20See%20%27Shockingly%20Bright%27%20Burst%20%28before%20and%20after%20labels%29.jpg
GW Orionis,Star,82.2849702961,11.87018512697,NA
Gacrux,Star,187.791498376,-57.113213457,http://commons.wikimedia.org/wiki/Special:FilePath/Gacrux.jpg
Gamma Cassiopeiae,Star,14.17721289375,60.71674002472,http://commons.wikimedia.org/wiki/Special:FilePath/Gamma%20Cassiopeiae%20and%20its%20associated%20nebulosity.jpg
Gamma Cygni,Star,305.55709098208,40.25667915639,NA
Gamma Tauri,Star,64.94834968291876,15.62764205142473,http://commons.wikimedia.org/wiki/Special:FilePath/HyadesStarMap.jpg
Ghost Nebula,Nebula,319.1083,68.26,http://commons.wikimedia.org/wiki/Special:FilePath/Sh2136s.jpg
Gliese 581,Star,229.86177891146036,-7.72227486040722,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese%20581%20Artist%27s%20impression.jpg
Gnomon,Star,154.90837038061,-9.80627938926,NA
Great Attractor,Cluster,158,-46,http://commons.wikimedia.org/wiki/Special:FilePath/2MASS%20LSS%20chart-NEW%20Nasa.jpg
Gum Nebula,Nebula,115.75,-42.1,http://commons.wikimedia.org/wiki/Special:FilePath/Gum%20Nebula2%201500x.jpg
HD 189733,Star,300.18213726402,22.71085365096,NA
HFG1,Nebula,45.9458733764094,64.909865624962407,NA
HH 30,Star,67.90627312064,18.20677332011,http://commons.wikimedia.org/wiki/Special:FilePath/HH30%20Webb%20investigates%20a%20dusty%20and%20dynamic%20disc%20%28potm2501a%29.jpg
HH 46/47,Star,126.43167,-51.01,http://commons.wikimedia.org/wiki/Special:FilePath/Webb%20snaps%20detailed%20infrared%20image%20of%20actively%20forming%20stars%20ESA25024852%20%28cropped%29.jpg
HL Tauri,Star,67.91046150388,18.23273881888,http://commons.wikimedia.org/wiki/Special:FilePath/HL%20Tau%20protoplanetary%20disk.jpg
Hanny's Voorwerp,Galaxy,145.265875,34.726194,http://commons.wikimedia.org/wiki/Special:FilePath/Hannys%20voorwerp.jpg
Hanny's Voorwerp,Nebula,145.265875,34.726194,http://commons.wikimedia.org/wiki/Special:FilePath/Hannys%20voorwerp.jpg
Heart Nebula,Nebula,38.175,61.45,http://commons.wikimedia.org/wiki/Special:FilePath/Heart%20Nebula%20IC%201805%20NGC%20896.jpg
Helix Nebula,Nebula,337.4083,-20.83722,http://commons.wikimedia.org/wiki/Special:FilePath/NGC%207293.jpg
Henize 70,Nebula,85.82292,-67.84667,http://commons.wikimedia.org/wiki/Special:FilePath/Superbubble%20N70%20in%20LMC.jpg
Hercules A,Galaxy,252.7834333,4.9930306,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Multi-Wavelength%20View%20of%20Radio%20Galaxy%20Hercules%20A.jpg
Hercules Cluster,Cluster,241.3125,17.74861,http://commons.wikimedia.org/wiki/Special:FilePath/VST%20image%20of%20the%20Hercules%20galaxy%20cluster.jpg
Hoag's Object,Galaxy,229.310028174361,21.5855157960971,http://commons.wikimedia.org/wiki/Special:FilePath/Hoag%27s%20object.jpg
Holmberg IX,Galaxy,149.38375,69.04611,NA
Homunculus Nebula,Nebula,161.26458,-59.68444,http://commons.wikimedia.org/wiki/Special:FilePath/EtaCarinae.jpg
Horsehead Nebula,Nebula,85.24583,-2.45833,http://commons.wikimedia.org/wiki/Special:FilePath/Barnard%2033.jpg
